source,ID,species,loc_sure,lon,lat,altitude,family,subfam,dom,mon_dicot,pft,phototype,collect_area,regio,country,location,continent,C25,C27,C29,C31,C33,C35,ACL,CPI,,notes
This Study,KU819,Eragrostis sp.,Y,7.951042,16.990325,,Poaceae,Aristidoideae,A,M,Grass,C4,,,Niger,West,Africa,0.0209,0.0712,0.1042,0.2653,0.4917,0.0469,31.5527,15.887,,
This Study,KU820,Aristida sp. (?),Y,7.951042,16.990325,,Poaceae,Aristidoideae,A,M,Grass,C4,,,Niger,West,Africa,0.0913,0.163,0.1911,0.3577,0.1849,0.012,29.8361,12.097,,
This Study,KU821,Aristida sp.,Y,7.951042,16.990325,,Poaceae,Aristidoideae,A,M,Grass,C4,,,Niger,West,Africa,0.0582,0.1305,0.2178,0.4056,0.1759,0.012,30.0927,13.514,,
This Study,KU823,Aristida sp.,Y,7.951042,16.990325,,Poaceae,Aristidoideae,A,M,Grass,C4,,,Niger,West,Africa,0.0407,0.1131,0.2392,0.4232,0.175,0.0088,30.2104,14.072,,
This Study,KU824,Aristida mutabilis (?),Y,7.951042,16.990325,,Poaceae,Aristidoideae,A,M,Grass,C4,,,Niger,West,Africa,0.1349,0.1896,0.1552,0.4056,0.1043,0.0105,29.3725,17.66,,
This Study,KU831,Aristida adscensionis (?),Y,7.951042,16.990325,,Poaceae,Aristidoideae,A,M,Grass,C4,,,Niger,West,Africa,0.1108,0.1857,0.2487,0.3377,0.1102,0.007,29.3438,13.199,,
This Study,KU832,Aristida adscensionis (?),Y,7.951042,16.990325,,Poaceae,Aristidoideae,A,M,Grass,C4,,,Niger,West,Africa,0.0447,0.1337,0.2655,0.4778,0.077,0.0014,29.8259,19.943,,
This Study,KU834,Aristida sp .2,Y,7.951042,16.990325,,Poaceae,Aristidoideae,A,M,Grass,C4,,,Niger,West,Africa,0.1023,0.1831,0.237,0.3391,0.1285,0.0101,29.4774,13.272,,
This Study,KU844,Aristida sp.,Y,7.532757,16.400736,,Poaceae,Aristidoideae,A,M,Grass,C4,,,Niger,West,Africa,0.0248,0.0757,0.1843,0.5386,0.1673,0.0094,30.5518,12.246,,
Tweedy et al. (2025),KU905,Phragmites mauritanius,,34.87,0.349,,Poaceae,Arundinoideae,A,M,Grass,C3,KAK.OPEN,Kakamega,Kenya,East,Africa,0.011056221,0.021286723,0.081804174,0.293136856,0.416170243,0.176545782,32.22343105,10.38142905,,
Ali et al. (2005),,Chloris gayana,,30.2176,12.8628,,Poaceae,Chloridoideae,A,M,Grass,C4,,,Sudan,North,Africa,0.023,0.051,0.098,0.541,0.236,0.051,31.138,NaN,,
Ali et al. (2005),,Dactyloctenium aegyptium,,30.2176,12.8628,,Poaceae,Chloridoideae,A,M,Grass,C4,,,Sudan,North,Africa,0.057,0.12,0.177,0.339,0.265,0.042,30.522,NaN,,
Ali et al. (2005),,Dactyloctenium aegyptium,,30.2176,12.8628,,Poaceae,Chloridoideae,A,M,Grass,C4,,,Sudan,North,Africa,0.037,0.116,0.153,0.319,0.315,0.06,30.878,NaN,,
Ali et al. (2005),,Eragrostis tremula,,30.2176,12.8628,,Poaceae,Chloridoideae,A,M,Grass,C4,,,Sudan,North,Africa,0.021,0.048,0.122,0.517,0.262,0.03,31.082,NaN,,
Griepentrog et al. (2019),,Enteropogon macrostachyus,Y,37.683,-3.306,,Poaceae,Chloridoideae,A,M,Grass,C4,,Lake Challa,Tanzania,East,Africa,0,0.223,0.185,0.362,0.23,0,30.198,NaN,,
Griepentrog et al. (2019),,Enteropogon macrostachyus,Y,37.683,-3.306,,Poaceae,Chloridoideae,A,M,Grass,C4,,Lake Challa,Tanzania,East,Africa,0,0.221,0.182,0.359,0.238,0,30.228,NaN,,
Griepentrog et al. (2019),,Enteropogon macrostachyus,Y,37.683,-3.306,,Poaceae,Chloridoideae,A,M,Grass,C4,,Lake Challa,Tanzania,East,Africa,0,0.137,0.149,0.419,0.295,0,30.744,NaN,,
Griepentrog et al. (2019),,Enteropogon macrostachyus,Y,37.683,-3.306,,Poaceae,Chloridoideae,A,M,Grass,C4,,Lake Challa,Tanzania,East,Africa,0.027,0.071,0.187,0.561,0.146,0.007,30.469,13.26,,
Griepentrog et al. (2019),,Enteropogon macrostachyus,Y,37.683,-3.306,,Poaceae,Chloridoideae,A,M,Grass,C4,,Lake Challa,Tanzania,East,Africa,0.018,0.043,0.142,0.625,0.161,0.01,30.767,15.95,,
Griepentrog et al. (2019),,Enteropogon macrostachyus,Y,37.683,-3.306,,Poaceae,Chloridoideae,A,M,Grass,C4,,Lake Challa,Tanzania,East,Africa,0,0.046,0.206,0.612,0.137,0,30.709,19.21,,
Griepentrog et al. (2019),,Enteropogon macrostachyus,Y,37.683,-3.306,,Poaceae,Chloridoideae,A,M,Grass,C4,,Lake Challa,Tanzania,East,Africa,0,0.053,0.163,0.655,0.129,0,30.72,22.68,,
Griepentrog et al. (2019),,Enteropogon macrostachyus,Y,37.683,-3.306,,Poaceae,Chloridoideae,A,M,Grass,C4,,Lake Challa,Tanzania,East,Africa,0,0.014,0.057,0.409,0.521,0,31.903,12.02,,
This Study,KU588,Cynodon dactylon 2001 October 06,Y,37.528,0.5683,,Poaceae,Chloridoideae,A,M,Grass,C4,,SNR,Kenya,East,Africa,0.0146,0.0158,0.0658,0.3993,0.4207,0.0836,31.8929,18.79,,
This Study,KU589,Cynodon dactylon 2001 November 12,Y,37.528,0.5683,,Poaceae,Chloridoideae,A,M,Grass,C4,,SNR,Kenya,East,Africa,0.0635,0.0357,0.1345,0.5239,0.2138,0.0285,30.7483,6.325,,
This Study,KU590,Cynodon dactylon 2001 December 6,Y,37.528,0.5683,,Poaceae,Chloridoideae,A,M,Grass,C4,,SNR,Kenya,East,Africa,0.0995,0.0911,0.1413,0.4563,0.1961,0.0158,30.2115,5.144,,
This Study,KU591,Cynodon dactylon 2002 January 5,Y,37.528,0.5683,,Poaceae,Chloridoideae,A,M,Grass,C4,,SNR,Kenya,East,Africa,0.0362,0.0896,0.1651,0.5911,0.1156,0.0023,30.3348,14.207,,
This Study,KU592,Cynodon dactylon 2002 February 12,Y,37.528,0.5683,,Poaceae,Chloridoideae,A,M,Grass,C4,,SNR,Kenya,East,Africa,0.04,0.0795,0.1441,0.3352,0.3458,0.0554,31.0675,12.298,,
This Study,KU593,Cynodon dactylon 2002 March 5,Y,37.528,0.5683,,Poaceae,Chloridoideae,A,M,Grass,C4,,SNR,Kenya,East,Africa,0.0417,0.0507,0.0964,0.3881,0.339,0.0841,31.3689,12.195,,
This Study,KU594,Sporobolus spicatus 2001 October 6,Y,37.528,0.5683,,Poaceae,Chloridoideae,A,M,Grass,C4,,SNR,Kenya,East,Africa,0.0445,0.0609,0.1803,0.5093,0.1948,0.0102,30.5595,9.747,,
This Study,KU595,Sporobolus spicatus 2001 November 12,Y,37.528,0.5683,,Poaceae,Chloridoideae,A,M,Grass,C4,,SNR,Kenya,East,Africa,0.044,0.0873,0.1823,0.3544,0.2882,0.0437,30.7738,9.722,,
This Study,KU596,Sporobolus spicatus 2001 December 10,Y,37.528,0.5683,,Poaceae,Chloridoideae,A,M,Grass,C4,,SNR,Kenya,East,Africa,0.0362,0.0767,0.1404,0.3557,0.3414,0.0495,31.0757,8.375,,
This Study,KU597,Sporobolus spicatus 2002 January 9,Y,37.528,0.5683,,Poaceae,Chloridoideae,A,M,Grass,C4,,SNR,Kenya,East,Africa,0.2216,0.0652,0.0838,0.2567,0.2846,0.0882,30.1644,15.133,,
This Study,KU598,Sporobolus spicatus 2002 February 12,Y,37.528,0.5683,,Poaceae,Chloridoideae,A,M,Grass,C4,,SNR,Kenya,East,Africa,0.0311,0.0283,0.0771,0.5431,0.2991,0.0213,31.2292,20.445,,
This Study,KU599,Sporobolus spicatus 2002 July 3,Y,37.528,0.5683,,Poaceae,Chloridoideae,A,M,Grass,C4,,SNR,Kenya,East,Africa,0.0773,0.0634,0.1078,0.1955,0.3954,0.1606,31.5006,7.525,,
This Study,KU600,Sporobolus spicatus 2002 August 2,Y,37.528,0.5683,,Poaceae,Chloridoideae,A,M,Grass,C4,,SNR,Kenya,East,Africa,0.0716,0.0636,0.1278,0.1938,0.3605,0.1827,31.5118,6.468,,
This Study,KU601,Sporobolus spicatus 2002 October 3,Y,37.528,0.5683,,Poaceae,Chloridoideae,A,M,Grass,C4,,SNR,Kenya,East,Africa,0.199,0.1034,0.0973,0.1569,0.3205,0.1229,30.3299,3.9,,
This Study,KU602,Tetrapogon cenchriformis 2001 November 6,Y,37.528,0.5683,,Poaceae,Chloridoideae,A,M,Grass,C4,,SNR,Kenya,East,Africa,0.0876,0.0648,0.0849,0.4759,0.2511,0.0358,30.6908,6.963,,
This Study,KU603,Tetrapogon cenchriformis 2001 December 5,Y,37.528,0.5683,,Poaceae,Chloridoideae,A,M,Grass,C4,,SNR,Kenya,East,Africa,0.0417,0.0719,0.1231,0.4626,0.2586,0.0421,30.9019,9.239,,
This Study,KU604,Gen et sp. indet 2001 October 6,Y,37.528,0.5683,,Poaceae,Chloridoideae,A,M,Grass,C4,,SNR,Kenya,East,Africa,0.0363,0.0981,0.1087,0.5461,0.1913,0.0194,30.6321,19.204,,
This Study,KU818,Panicum sp. 1,Y,7.951042,16.990325,,Poaceae,Chloridoideae,A,M,Grass,C4,,,Niger,West,Africa,0.0571,0.0937,0.0978,0.7264,0.0112,0.0139,30.1653,7.49,,
This Study,KU827,Chloris gayana (?),Y,7.951042,16.990325,,Poaceae,Chloridoideae,A,M,Grass,C4,,,Niger,West,Africa,0.1184,0.1999,0.1987,0.2287,0.188,0.0662,29.7335,9.479,,
This Study,KU828,Dactyloctenium australe (?),Y,7.951042,16.990325,,Poaceae,Chloridoideae,A,M,Grass,C4,,,Niger,West,Africa,0.1403,0.2315,0.1927,0.2569,0.1597,0.019,29.2425,11.206,,
This Study,KU830,Eragrostis tenella (?),Y,7.951042,16.990325,,Poaceae,Chloridoideae,A,M,Grass,C4,,,Niger,West,Africa,0.0886,0.0154,0.1356,0.2131,0.4163,0.131,31.4926,9.964,,
This Study,KU833,Shoenefeldia transiens,Y,7.951042,16.990325,,Poaceae,Chloridoideae,A,M,Grass,C4,,,Niger,West,Africa,0.0813,0.1719,0.2115,0.2653,0.2244,0.0457,30.0338,11.372,,
This Study,KU835,Chloris gayana (?),Y,7.951042,16.990325,,Poaceae,Chloridoideae,A,M,Grass,C4,,,Niger,West,Africa,0.1602,0.2069,0.2094,0.2454,0.1378,0.0402,29.2286,8.319,,
This Study,KU842,Chloris virgata (?),Y,7.532757,16.400736,,Poaceae,Chloridoideae,A,M,Grass,C4,,,Niger,West,Africa,0.1558,0.2178,0.2387,0.2143,0.1308,0.0427,29.1489,9.192,,
This Study,KU845,Sporobolus spicatus (?),Y,7.532757,16.400736,,Poaceae,Chloridoideae,A,M,Grass,C4,,,Niger,West,Africa,0.097,0.1827,0.1227,0.2055,0.3147,0.0774,30.3808,12.236,,
This Study,KU847,Chloris sp.?,Y,9.256226,16.582551,,Poaceae,Chloridoideae,A,M,Grass,C4,,,Niger,West,Africa,0.1762,0.21,0.2043,0.1984,0.161,0.05,29.2162,10.514,,
This Study,KU851,Chloris sp.?,Y,9.506802,16.931249,,Poaceae,Chloridoideae,A,M,Grass,C4,,,Niger,West,Africa,0.031,0.073,0.158,0.674,0.062,0.002,30.338,21.103,,
This Study,KU865,Dactyloctenium bogdanii (?),Y,NaN,NaN,,Poaceae,Chloridoideae,A,M,Grass,C4,,,Niger,West,Africa,0.4743,0.2338,0.105,0.1552,0.0299,0.0018,27.0758,14.147,,
Tweedy et al. (2025),KU917,Eragrostis,,34.869,0.348,,Poaceae,Chloridoideae,A,M,Grass,C4,KAK.OPEN.001.G,Kakamega,Kenya,East,Africa,0.016337808,0.015854785,0.056845928,0.225333015,0.49449725,0.191131214,32.47838151,12.81378459,,
Tweedy et al. (2025),KU911,Sporobolus sp.,,34.87,0.349,,Poaceae,Chloridoideae,A,M,Grass,C4,KAK.MWANZA,Kakamega,Kenya,East,Africa,0.04308288,0.145115933,0.345790428,0.247471005,0.161899723,0.056640031,30.0198177,11.93683116,,
Carr et al. (2014),SK6-8,Pentaschistis sp.,N,19,-32,,Poaceae,Danthonioideae,A,M,Grass,C3,,Succulent Karoo,South Africa,South,Africa,0.001,0.006,0.05,0.748,0.191,0.004,31.268,26.89,,
Tweedy et al. (2025),KU901,Isachne mauritania,,34.869,0.349,,Poaceae,Micrairoideae,A,M,Grass,C3,KAK.MWANZA,Kakamega,Kenya,East,Africa,0.011839769,0.013691329,0.02149664,0.057460511,0.154967179,0.740544572,34.10331544,10.68577915,,
Ali et al. (2005),,Cenchrus bifloris,,30.2176,12.8628,,Poaceae,Panicoideae,A,M,Grass,C4,,,Sudan,North,Africa,0.032,0.079,0.142,0.353,0.316,0.079,31.187,NaN,,
Ali et al. (2005),,Cenchrus ciliaris,,30.2176,12.8628,,Poaceae,Panicoideae,A,M,Grass,C4,,,Sudan,North,Africa,0.011,0.027,0.097,0.497,0.32,0.048,31.464,NaN,,
Ali et al. (2005),,Cenchrus ciliaris,,30.2176,12.8628,,Poaceae,Panicoideae,A,M,Grass,C4,,,Sudan,North,Africa,0.009,0.025,0.08,0.469,0.352,0.065,31.65,NaN,,
Griepentrog et al. (2019),,Themeda triandra,Y,37.686,-3.323,,Poaceae,Panicoideae,A,M,Grass,C4,,Lake Challa,Kenya,East,Africa,0.029,0.173,0.26,0.431,0.102,0.004,29.803,13.57,,
Griepentrog et al. (2019),,Themeda triandra,Y,37.686,-3.323,,Poaceae,Panicoideae,A,M,Grass,C4,,Lake Challa,Kenya,East,Africa,0.018,0.08,0.18,0.606,0.112,0.004,30.452,19.62,,
Griepentrog et al. (2019),,Themeda triandra,Y,37.686,-3.323,,Poaceae,Panicoideae,A,M,Grass,C4,,Lake Challa,Kenya,East,Africa,0.011,0.059,0.148,0.606,0.171,0.004,30.729,23.29,,
Griepentrog et al. (2019),,Themeda triandra,Y,37.686,-3.323,,Poaceae,Panicoideae,A,M,Grass,C4,,Lake Challa,Kenya,East,Africa,0.016,0.072,0.176,0.576,0.151,0.009,30.602,11.74,,
Griepentrog et al. (2019),,Themeda triandra,Y,37.686,-3.323,,Poaceae,Panicoideae,A,M,Grass,C4,,Lake Challa,Kenya,East,Africa,0.01,0.046,0.134,0.681,0.126,0.004,30.787,20.22,,
Griepentrog et al. (2019),,Themeda triandra,Y,37.686,-3.323,,Poaceae,Panicoideae,A,M,Grass,C4,,Lake Challa,Kenya,East,Africa,0.007,0.037,0.121,0.712,0.114,0.009,30.832,17.61,,
Griepentrog et al. (2019),,Themeda triandra,Y,37.686,-3.323,,Poaceae,Panicoideae,A,M,Grass,C4,,Lake Challa,Kenya,East,Africa,0,0.04,0.215,0.6,0.145,0,30.7,25.67,,
Griepentrog et al. (2019),,Themeda triandra,Y,37.686,-3.323,,Poaceae,Panicoideae,A,M,Grass,C4,,Lake Challa,Kenya,East,Africa,0,0.062,0.201,0.611,0.126,0,30.602,17.4,,
